Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price
2014,40929,32.26,998,58.2,4.0,0.7181543445105572
2013,54493,24.7,796,47.3,5.0,-0.9616197038371626
2017,34000,13.68,2393,147.8,7.0,14.811242663208196
2014,29000,18.5,1197,82.85,5.0,4.793721862858126
2016,85609,16.0,2179,140.0,7.0,13.683769105025641
2015,59000,12.55,2982,168.7,7.0,17.815555210993686
2013,65000,21.1,814,55.2,5.0,0.3936956696322351
2011,66000,17.0,1497,118.0,5.0,10.58790300689522
2015,54684,15.1,2179,140.0,7.0,13.683769105025641
2012,78000,12.8,1968,167.6,5.0,18.712860980703603
2016,21000,18.9,1197,82.0,5.0,4.645817385375292
2007,90000,13.4,1794,125.0,5.0,11.48705690736656
2008,87628,17.8,1248,75.0,5.0,3.373022829769223
2014,45000,13.24,1598,102.5,5.0,7.782379674286277
2013,30788,17.05,1995,184.0,5.0,21.537558008609928
2015,39524,19.59,1995,184.0,5.0,21.537558008609928
2009,140000,13.8,1399,68.0,5.0,1.992860269814095
2019,15409,22.0,1197,81.8,5.0,4.611016331849919
2015,36502,17.5,1298,85.8,5.0,5.198595717964825
2016,200000,23.2,1248,73.94,5.0,3.1885772460847477
2010,70000,18.06,1198,75.0,5.0,3.4267068319437524
2017,36701,24.7,796,47.3,5.0,-0.9616197038371626
2011,40000,15.5,1799,132.0,5.0,12.699725380537155
2005,47000,13.8,1299,70.0,5.0,2.448238809416882
2006,93500,19.7,796,46.3,5.0,-1.1356249714640265
2015,52000,27.3,1498,98.6,5.0,7.211127134890566
2015,55429,21.66,1498,103.52,5.0,8.067233051614737
2011,133000,17.0,1197,80.0,5.0,4.297806850121564
2014,70000,23.59,1364,67.06,5.0,1.8668741197670133
2014,68000,15.11,1598,103.6,5.0,7.9737854686758265
2010,71000,19.81,1086,68.05,5.0,2.337622386807995
2012,121000,10.5,2835,107.2,6.0,7.272062218334668
2015,107000,23.4,1248,74.0,5.0,3.199017562142359
2015,51000,19.1,1197,85.8,5.0,5.307037402357375
2017,13500,14.84,1598,103.52,5.0,7.959865047265678
2016,13000,15.29,1591,121.3,5.0,11.061194465975754
2010,81000,12.8,2494,102.0,8.0,6.733359721505268
2012,66889,22.48,1995,190.0,5.0,22.58158961437112
2018,32000,27.39,1248,74.0,5.0,3.199017562142359
2013,87001,17.11,1968,174.33,5.0,19.883916431832404
2013,55000,16.55,1968,140.0,5.0,13.910315594202158
2018,4000,15.41,1598,103.52,5.0,7.959865047265678
2017,27778,24.52,1248,88.5,7.0,5.722093942731888
2017,5000,20.73,1373,91.1,5.0,6.040297633125409
2014,72000,20.73,1373,91.1,5.0,6.040297633125409
2015,21000,20.0,2143,136.0,5.0,13.026400516083848
2015,59299,12.99,2494,100.6,7.0,6.4897523468276574
2014,75000,18.88,1995,184.0,5.0,21.537558008609928
2019,3413,24.7,796,47.3,5.0,-0.9616197038371626
2014,62000,22.7,1498,89.84,5.0,5.6868409904792365
2010,105001,11.4,2953,153.86,7.0,15.264453760672259
2013,89000,14.16,1968,174.3,5.0,19.878696273803598
2014,21000,17.01,1591,121.3,5.0,11.061194465975754
2014,50000,15.1,2179,140.0,7.0,13.683769105025641
2016,70687,24.3,1248,88.5,5.0,5.722093942731888
2016,104350,23.59,1364,67.04,5.0,1.8633940144144763
2011,150000,19.09,1396,69.0,5.0,2.17008657757143
2008,81000,17.7,1497,78.0,5.0,3.627692301820657
2008,89000,14.53,1798,138.1,5.0,13.762231193104517
2017,35223,18.9,1197,82.0,5.0,4.645817385375292
2015,48000,18.6,1197,81.83,5.0,4.616236489878725
2015,60000,20.14,1498,88.8,5.0,5.505875512147297
2018,7000,23.0,998,67.0,5.0,2.2494006996269604
2015,47572,18.2,1199,82.5,5.0,4.730672659101742
2010,72727,15.4,2179,120.0,8.0,10.203663752488362
2018,4708,21.66,1498,108.62,5.0,8.954659916511746
2009,55000,18.9,998,67.1,5.0,2.2668012263896458
2013,44198,18.4,1198,86.8,5.0,5.479968989940749
2015,35000,16.02,1373,93.7,7.0,6.492711328955258
2013,63831,0.0,1086,62.0,5.0,1.2848905176654668
2017,17540,18.16,1196,86.8,5.0,5.482116350027729
2017,14000,23.84,1199,84.0,5.0,4.991680560542038
2010,75422,18.6,1199,79.4,5.0,4.191256329458465
2011,67000,23.08,1461,63.1,5.0,1.0736662957460439
2013,79999,12.99,2494,100.0,8.0,6.38534918625154
2017,5044,20.14,1197,81.86,5.0,4.6214566479075305
2016,31601,20.73,1373,91.1,5.0,6.040297633125409
2014,70000,18.12,1995,190.0,5.0,22.58158961437112
2016,16000,19.16,2487,175.67,5.0,19.559843547880774
2016,31700,21.43,1364,87.2,5.0,5.371340209772056
2014,76969,22.32,1582,126.32,5.0,11.944364029854027
2015,37000,21.21,1498,103.2,5.0,8.01155136597414
2014,23000,11.07,2496,179.5,5.0,20.216620602500257
2014,59098,17.0,1197,80.0,5.0,4.297806850121564
2010,142299,13.07,1368,88.76,5.0,5.638493707096002
2011,75731,20.0,1399,68.0,5.0,1.992860269814095
2017,69627,18.6,1197,81.83,5.0,4.616236489878725
2011,49000,15.3,1596,99.6,5.0,7.27991175825535
2015,25700,11.9,1595,120.7,5.0,10.952496585225676
2012,80800,18.5,1197,82.85,5.0,4.793721862858126
2013,110896,23.4,1248,74.0,5.0,3.199017562142359
2009,62261,17.92,1086,62.1,5.0,1.302291044428154
2017,27610,21.4,1197,83.1,5.0,4.837223179764841
2011,89219,10.2,2354,180.0,5.0,20.456085802489348
2018,6700,19.34,1198,75.94,5.0,3.590271783513005
2011,51599,19.0,998,67.1,5.0,2.2668012263896458
2013,37489,22.7,1582,126.24,5.0,11.930443608443879
2016,98000,17.5,1396,70.0,5.0,2.344091845198294
2012,25183,26.0,624,35.0,4.0,-2.917211528167207
2015,52100,18.12,1995,190.0,5.0,22.58158961437112
2014,60000,25.8,1498,98.6,5.0,7.211127134890566
2013,51000,22.07,1199,73.9,5.0,3.234227357510713
2012,70000,22.3,1248,74.0,5.0,3.199017562142359
2015,95000,17.32,1968,138.13,5.0,13.584925743739921
2014,66346,26.0,1498,98.6,5.0,7.211127134890566
2015,69150,25.8,1498,98.6,5.0,7.211127134890566
2016,31000,18.6,1197,81.83,5.0,4.616236489878725
2013,49000,18.12,1995,190.0,5.0,22.58158961437112
2014,63058,19.4,1198,86.8,5.0,5.479968989940749
2016,22000,19.71,2143,201.15,5.0,24.362843701974043
2015,73026,16.47,1198,74.0,5.0,3.2527015643168884
2011,21762,19.2,1197,80.0,5.0,4.297806850121564
2018,29738,17.01,1591,121.3,5.0,11.061194465975754
2018,16053,18.6,1197,81.83,5.0,4.616236489878725
2012,61665,16.73,2993,218.0,5.0,26.382204424519692
2015,51000,19.3,1248,73.9,5.0,3.1816170353796736
2016,34820,21.9,1498,98.6,7.0,7.211127134890566
2018,12000,17.5,1373,91.1,7.0,6.040297633125409
2017,32287,26.59,1248,74.0,5.0,3.199017562142359
2015,74485,16.09,1995,184.0,5.0,21.537558008609928
2011,63000,25.44,936,57.6,5.0,0.6803193466308546
2018,53190,18.51,1968,147.51,5.0,15.217095154079905
2016,26900,12.0,2987,224.0,7.0,27.432678110541822
2015,40000,19.59,1995,184.0,5.0,21.537558008609928
2016,40587,18.9,1197,82.0,5.0,4.645817385375292
2015,27000,18.9,1197,82.0,5.0,4.645817385375292
2016,29108,23.59,1364,67.04,5.0,1.8633940144144763
2015,18000,19.83,1198,67.0,5.0,2.0346646909288406
2017,10500,20.89,1197,81.8,5.0,4.611016331849919
2009,60000,19.0,998,66.1,5.0,2.092795958762782
2011,61000,13.9,1799,130.3,5.0,12.40391642557149
2017,5000,22.74,796,47.3,5.0,-0.9616197038371626
2018,24001,13.6,1999,177.0,5.0,20.315226415047917
2011,76000,23.0,1396,90.0,5.0,5.824197197735575
2014,56000,18.88,999,123.24,5.0,12.034383270918303
2016,30000,18.15,1198,82.0,5.0,4.644743705331802
2017,44263,24.3,1248,88.5,5.0,5.722093942731888
2011,97899,20.0,1399,68.0,5.0,1.992860269814095
2011,157301,20.54,1598,103.6,5.0,7.9737854686758265
2016,35000,14.4,1368,88.8,5.0,5.645453917801076
2009,106000,13.5,1799,130.0,5.0,12.351714845283427
2016,121590,18.0,2000,148.0,5.0,15.26799997382537
2012,64692,22.5,998,67.04,5.0,2.2563609103320363
2010,41000,20.36,1197,78.9,5.0,4.1064010557320145
2018,25143,22.0,1498,108.495,5.0,8.932909258058386
2011,51000,20.54,1598,103.6,5.0,7.9737854686758265
2005,109000,13.1,1493,82.0,5.0,4.328008092502076
2015,69062,22.7,1498,89.84,5.0,5.6868409904792365
2015,34386,16.36,2179,187.7,5.0,21.983820370827054
2016,20185,21.4,1197,83.1,5.0,4.837223179764841
2013,41585,24.0,1120,70.0,5.0,2.640427537201699
2011,24000,21.1,814,55.2,5.0,0.3936956696322351
2016,40000,15.0,2143,204.0,5.0,24.858758714710603
2012,37000,0.0,2987,165.0,5.0,17.166367320556837
2015,67630,23.0,1498,98.96,5.0,7.273769031236236
2016,24192,23.1,998,67.04,5.0,2.2563609103320363
2017,32248,24.3,1248,88.5,5.0,5.722093942731888
2013,28000,13.0,2179,120.0,8.0,10.203663752488362
2018,36471,14.8,1591,121.3,5.0,11.061194465975754
2015,69689,17.3,1497,117.3,7.0,10.466099319556415
2015,69095,11.3,2987,254.8,7.0,32.79204035344924
2010,46000,18.5,1197,80.0,5.0,4.297806850121564
2008,65000,10.13,3498,364.9,5.0,51.401369816943266
2015,119258,20.64,1498,108.5,5.0,8.93377928439652
2015,38339,13.0,2143,201.1,5.0,24.354143438592693
2012,59503,16.78,1496,88.73,5.0,5.4958425035004
2010,93600,17.0,1405,71.0,5.0,2.5084339924337424
2011,58865,14.3,1798,160.0,5.0,17.57294655413284
2012,64631,19.7,796,46.3,5.0,-1.1356249714640265
2007,124298,17.0,1896,105.0,5.0,7.897436190393238
2003,50000,18.9,998,67.1,5.0,2.2668012263896458
2013,40001,21.64,1461,84.8,5.0,4.849580603248993
2015,62659,19.4,1198,86.8,5.0,5.479968989940749
2014,68138,20.36,1197,78.9,5.0,4.1064010557320145
2014,34000,15.26,2143,203.2,5.0,24.719554500609107
2013,67000,15.04,1598,103.6,5.0,7.9737854686758265
2015,64141,24.2,1498,98.6,7.0,7.211127134890566
2019,1000,24.7,796,47.3,5.0,-0.9616197038371626
2013,42000,13.0,2143,201.1,5.0,24.354143438592693
2009,76677,16.9,1497,100.0,5.0,7.455808189611666
2013,66848,11.8,2967,246.7,5.0,31.404071286541445
2007,78000,0.0,1086,62.0,5.0,1.2848905176654668
2010,111166,19.3,1248,73.9,5.0,3.1816170353796736
2007,76000,18.1,1493,110.0,5.0,9.20015558605427
2012,94049,12.8,1968,167.6,5.0,18.712860980703603
2014,47000,17.05,1995,184.0,5.0,21.537558008609928
2015,20047,23.9,624,37.48,4.0,-2.485678464452585
2017,16000,16.77,2993,261.49,5.0,33.94969351361201
2012,27000,18.5,1198,86.8,5.0,5.479968989940749
2018,1001,24.7,796,47.3,5.0,-0.9616197038371626
2010,89312,17.0,1197,80.0,5.0,4.297806850121564
2012,93000,19.01,1461,108.45,5.0,8.96480518262433
2013,48000,23.4,1248,74.0,5.0,3.199017562142359
2014,64917,28.4,1248,73.75,5.0,3.155516245235644
2017,19678,17.8,1497,117.3,5.0,10.466099319556415
2014,12000,14.74,2993,270.9,5.0,35.5870830819808
2014,41309,18.88,1995,184.0,5.0,21.537558008609928
2018,25038,21.76,1995,190.0,5.0,22.58158961437112
2016,68673,25.44,936,56.3,5.0,0.45411249871593107
2018,26343,19.27,2143,167.62,5.0,18.52844707844529
2005,81245,16.8,796,34.2,8.0,-3.2410887097490804
2012,62100,23.08,1461,63.1,5.0,1.0736662957460439
2013,104000,15.04,1598,103.6,5.0,7.9737854686758265
2014,114831,17.68,1968,174.33,5.0,19.883916431832404
2010,46000,14.6,1368,88.7,5.0,5.6280533910383905
2014,80000,22.32,1582,126.32,5.0,11.944364029854027
2016,9201,17.19,1197,81.86,5.0,4.6214566479075305
2013,55311,19.4,1198,86.8,5.0,5.479968989940749
2015,58217,24.5,1498,98.6,7.0,7.211127134890566
2013,70655,13.5,2477,175.56,7.0,19.551439768876733
2015,46000,20.36,1197,78.9,5.0,4.1064010557320145
2014,125000,21.02,1248,88.8,5.0,5.774295523019948
2014,59000,19.01,1461,108.45,5.0,8.96480518262433
2013,66000,22.0,1582,126.2,5.0,11.923483397738805
2009,82242,21.1,1248,73.9,5.0,3.1816170353796736
2012,107281,12.8,2494,102.0,8.0,6.733359721505268
2015,196000,12.2,1948,68.0,10.0,1.4034099259377566
2015,75000,15.17,1968,181.0,5.0,21.044531566903586
2011,11791,16.2,1172,68.0,5.0,2.23658563968646
2013,46000,16.3,1797,147.5,5.0,15.398954388840531
2011,81000,22.07,1199,73.9,5.0,3.234227357510713
2015,46950,17.71,1197,78.8,5.0,4.089000528969327
2017,18000,18.9,1197,82.0,5.0,4.645817385375292
2016,95942,15.4,2179,120.0,7.0,10.203663752488362
2016,42925,20.73,1373,91.1,5.0,6.040297633125409
2014,33750,15.6,1196,70.02,5.0,2.562307959248951
2016,14000,13.6,1598,181.0,4.0,21.441793182995106
2015,29000,19.67,1582,126.2,5.0,11.923483397738805
2015,67365,15.1,2179,140.0,7.0,13.683769105025641
2014,67791,15.1,2179,140.0,7.0,13.683769105025641
2016,20000,16.55,2498,105.0,6.0,7.251080804211899
2011,90198,19.3,1248,73.9,5.0,3.1816170353796736
2010,77000,19.81,1086,68.05,5.0,2.337622386807995
2017,42520,20.73,1373,91.1,5.0,6.040297633125409
2009,87829,17.3,1061,57.5,5.0,0.5287088144318428
2017,21701,21.4,1197,83.1,5.0,4.837223179764841
2008,86033,19.7,796,46.3,5.0,-1.1356249714640265
2015,25000,19.1,1197,81.86,5.0,4.6214566479075305
2011,45000,21.43,1364,87.2,5.0,5.371340209772056
2018,22987,16.47,1198,73.9,5.0,3.235301037554203
2009,48725,19.81,1086,68.05,5.0,2.337622386807995
2013,42500,18.9,1197,81.86,5.0,4.6214566479075305
2014,35000,17.1,1591,121.4,5.0,11.078594992738443
2014,56000,17.8,1399,68.0,5.0,1.992860269814095
2014,10000,13.49,2179,138.03,5.0,13.340978727800719
2010,15669,20.92,998,67.1,5.0,2.2668012263896458
2016,55331,17.68,1968,174.33,5.0,19.883916431832404
2015,44535,20.46,1461,83.8,5.0,4.6755753356221295
2012,74000,16.55,2498,105.0,7.0,7.251080804211899
2014,77901,12.99,2494,100.6,7.0,6.4897523468276574
2010,58186,17.5,1298,85.8,5.0,5.198595717964825
2010,30000,14.2,1598,102.0,5.0,7.695377040472843
2018,14730,13.5,1999,246.74,5.0,32.45035377934542
2013,40000,19.7,796,46.3,5.0,-1.1356249714640265
2007,88107,15.26,1150,74.9,5.0,3.460842947268617
2012,53226,20.64,1498,108.5,5.0,8.93377928439652
2013,76000,25.2,1248,74.0,5.0,3.199017562142359
2008,200000,12.8,2494,102.0,8.0,6.733359721505268
2013,73000,14.21,2143,203.0,5.0,24.684753447083736
2009,77200,13.2,1495,94.0,5.0,6.413923943937464
2012,67000,15.2,1968,140.8,5.0,14.049519808303652
2005,150000,14.8,2499,80.0,10.0,2.899875433496806
2009,145278,11.68,2498,112.0,8.0,8.469117677599948
2015,62083,21.19,1396,88.76,5.0,5.608430665878265
2010,61696,13.5,1799,130.0,5.0,12.351714845283427
2017,28000,23.0,1498,98.96,5.0,7.273769031236236
2013,50142,14.84,2143,170.0,5.0,18.94257961539723
2014,45000,13.7,1798,157.75,5.0,17.1814347019724
2014,97513,21.14,1498,103.52,5.0,8.067233051614737
2011,55000,12.3,1796,185.0,5.0,21.925225604891423
2004,82000,16.1,796,37.0,4.0,-2.753873960393862
2013,71501,22.9,1248,74.0,5.0,3.199017562142359
2017,23000,21.9,1498,98.6,7.0,7.211127134890566
2015,66095,17.68,1968,174.33,5.0,19.883916431832404
2014,49500,11.5,2982,171.0,7.0,18.215767326535477
2009,90000,13.4,2362,164.7,5.0,17.785215767450403
2017,25384,20.89,1197,81.8,5.0,4.611016331849919
2016,27529,17.01,1591,121.3,5.0,11.061194465975754
2012,69297,16.8,1497,116.3,5.0,10.292094051929551
2009,66000,17.0,1497,118.0,5.0,10.58790300689522
2012,20000,21.03,1461,65.0,5.0,1.4042763042370847
2015,67000,11.3,2987,254.8,7.0,32.79204035344924
2015,36933,21.1,814,55.2,5.0,0.3936956696322351
2007,194000,12.99,2494,100.6,8.0,6.4897523468276574
2013,42200,20.77,1248,88.76,7.0,5.767335312314874
2015,53093,12.07,2967,241.4,7.0,30.481843368119065
2012,88000,17.0,1497,118.0,5.0,10.58790300689522
2017,42954,24.07,998,67.1,5.0,2.2668012263896458
2015,106000,25.0,1396,69.0,5.0,2.17008657757143
2015,41700,18.12,1995,190.0,5.0,22.58158961437112
2018,34464,19.27,2143,170.0,5.0,18.94257961539723
2010,15000,17.8,1199,76.8,5.0,3.738842633628618
2010,70000,19.0,998,67.1,5.0,2.2668012263896458
2017,119256,16.0,2179,140.0,7.0,13.683769105025641
2011,50036,17.0,1497,118.0,5.0,10.58790300689522
2013,58000,12.99,2494,100.6,7.0,6.4897523468276574
2011,75000,18.5,1197,80.0,5.0,4.297806850121564
2013,53313,20.92,998,67.1,5.0,2.2668012263896458
2015,73000,12.99,2494,100.6,8.0,6.4897523468276574
2013,83989,23.08,1461,63.1,5.0,1.0736662957460439
2015,86247,19.67,1582,126.2,5.0,11.923483397738805
2016,24000,12.99,2494,100.6,8.0,6.4897523468276574
2010,58000,14.21,2143,203.0,5.0,24.684753447083736
2015,33000,18.6,1197,81.83,5.0,4.616236489878725
2005,100000,11.1,2354,142.0,5.0,13.843885632668515
2017,65896,13.68,2393,147.8,7.0,14.811242663208196
2016,120000,22.54,1396,88.73,5.0,5.603210507849459
2013,26000,20.8,1461,64.1,5.0,1.247671563372906
2012,62300,15.1,1196,73.0,5.0,3.080843656777006
2012,77801,14.28,1798,138.03,5.0,13.750050824370637
2015,42000,14.28,1798,138.03,5.0,13.750050824370637
2013,35000,15.5,1595,120.7,5.0,10.952496585225676
2016,30134,22.54,1396,88.73,5.0,5.603210507849459
2012,79038,12.8,2354,177.6,5.0,20.03847316018488
2009,80000,11.7,2354,177.6,5.0,20.03847316018488
2012,75000,15.96,2523,62.1,7.0,-0.2405871780678357
2010,80000,21.1,1248,73.9,5.0,3.1816170353796736
2014,84419,13.7,1798,157.75,5.0,17.1814347019724
2013,70200,18.0,1198,86.7,5.0,5.462568463178064
2013,98000,15.04,1598,103.6,5.0,7.9737854686758265
2016,131503,23.2,1248,73.94,5.0,3.1885772460847477
2011,54652,17.0,1497,118.0,5.0,10.58790300689522
2010,92000,14.0,1595,102.0,5.0,7.6985980806033165
2010,44287,15.6,1196,70.0,5.0,2.558827853896414
2015,205000,12.99,2494,100.6,7.0,6.4897523468276574
2015,48000,18.6,1197,81.86,5.0,4.6214566479075305
2016,18000,25.32,1198,77.0,6.0,3.7747173671974803
2008,31200,10.2,5998,616.0,5.0,92.40989240932235
2009,72000,17.0,1497,118.0,5.0,10.58790300689522
2009,85000,18.5,1197,80.0,5.0,4.297806850121564
2010,27000,17.0,1497,118.0,5.0,10.58790300689522
2012,126000,14.24,2755,174.5,7.0,19.068511133101865
2017,50000,17.88,1405,48.21,5.0,-1.4571460567824897
2013,58811,18.0,1198,86.7,5.0,5.462568463178064
2013,52196,22.07,1199,73.9,5.0,3.234227357510713
2017,45105,19.69,1198,67.04,5.0,2.0416249016339165
2015,25160,18.9,1197,82.0,5.0,4.645817385375292
2017,18000,20.3,1199,84.0,5.0,4.991680560542038
2007,74000,11.9,2354,144.0,5.0,14.191896167922243
2009,67700,14.0,2498,112.0,7.0,8.469117677599948
2015,61062,12.39,2179,147.51,5.0,14.990548664903388
2016,105000,12.99,2494,100.6,7.0,6.4897523468276574
2013,155550,25.0,1396,69.01,5.0,2.1718266302476987
2016,66000,24.3,1248,88.5,5.0,5.722093942731888
2012,93884,17.0,1497,118.0,5.0,10.58790300689522
2009,200000,20.4,1248,91.7,5.0,6.278910799137854
2016,57200,23.84,1199,84.0,5.0,4.991680560542038
2013,93568,22.07,1199,73.9,5.0,3.234227357510713
2014,54000,20.51,998,67.04,5.0,2.2563609103320363
2016,40571,17.01,1582,126.2,5.0,11.923483397738805
2015,59000,18.25,1968,187.74,5.0,22.21732707070865
2017,17273,20.68,1995,190.0,5.0,22.58158961437112
2011,100077,11.4,2953,153.86,7.0,15.264453760672259
2011,39934,19.2,1197,80.0,5.0,4.297806850121564
2016,46000,24.3,1248,88.5,5.0,5.722093942731888
2016,30842,17.0,1497,118.0,5.0,10.58790300689522
2005,65000,11.7,1796,178.0,5.0,20.707188731503372
2016,70000,11.1,2400,200.0,7.0,23.886801873026066
2011,150152,11.5,2982,171.0,7.0,18.215767326535477
2011,43985,11.88,1086,62.1,5.0,1.302291044428154
2014,58598,11.2,2993,241.0,4.0,30.384325579937567
2016,100000,25.0,1396,69.01,5.0,2.1718266302476987
2016,35000,14.16,1968,174.3,5.0,19.878696273803598
2008,84500,20.36,1197,78.9,5.0,4.1064010557320145
2018,18006,21.4,1197,83.1,5.0,4.837223179764841
2013,99000,28.4,1248,74.0,5.0,3.199017562142359
2014,51200,15.1,1196,73.0,5.0,3.080843656777006
2014,130000,11.0,2982,170.3,7.0,18.093963639196673
2017,25000,16.38,1995,182.46,5.0,21.26958989646456
2017,32352,21.4,1197,83.1,5.0,4.837223179764841
2011,20000,20.36,1197,78.9,5.0,4.1064010557320145
2013,46000,16.55,1968,147.51,5.0,15.217095154079905
2018,12500,22.0,1197,81.8,5.0,4.611016331849919
2011,53138,12.8,2494,102.0,8.0,6.733359721505268
2013,170000,23.4,1248,74.0,5.0,3.199017562142359
2012,38583,22.9,1248,74.0,5.0,3.199017562142359
2016,26000,22.5,998,67.0,5.0,2.2494006996269604
2017,22865,15.29,1591,121.3,5.0,11.061194465975754
2013,45000,17.5,1896,106.0,5.0,8.071441458020102
2017,62889,20.4,1197,81.8,5.0,4.611016331849919
2013,153000,16.8,796,34.2,5.0,-3.2410887097490804
2016,67000,28.4,1248,74.0,5.0,3.199017562142359
2014,39000,15.5,1198,86.7,5.0,5.462568463178064
2006,164000,13.4,1794,125.0,5.0,11.48705690736656
2018,57178,19.3,1248,73.9,5.0,3.1816170353796736
2013,40000,17.68,1968,174.33,5.0,19.883916431832404
2007,40000,18.0,995,62.0,5.0,1.382595401623112
2007,89564,18.1,1493,110.0,5.0,9.20015558605427
2012,66727,16.02,1373,93.7,7.0,6.492711328955258
2013,75000,15.73,1968,174.33,5.0,19.883916431832404
2017,31056,14.81,1998,163.7,5.0,18.002030035654116
2011,61000,15.04,1598,103.6,5.0,7.9737854686758265
2016,34782,16.9,1197,82.0,5.0,4.645817385375292
2012,31736,20.36,1197,78.9,5.0,4.1064010557320145
2014,75000,19.64,1461,108.5,5.0,8.973505446005673
2014,15000,16.55,2498,105.0,6.0,7.251080804211899
2016,38503,22.7,1498,89.84,5.0,5.6868409904792365
2017,45353,21.9,1498,98.6,7.0,7.211127134890566
